name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
sobit saini,0,3,11,0,1,so,ni,sob,ini
inder dutt,0,3,10,1,0,in,tt,ind,utt
shakir,0,3,6,0,0,sh,ir,sha,kir
haseen ahmed,0,3,12,0,0,ha,ed,has,med
kiran,0,3,5,0,0,ki,an,kir,ran
gulam rashul,0,3,12,0,0,gu,ul,gul,hul
rajan,0,3,5,0,0,ra,an,raj,jan
ayush,0,3,5,1,0,ay,sh,ayu,ush
sehboob,0,3,7,0,0,se,ob,seh,oob
sanjay kumar,0,3,12,0,0,sa,ar,san,mar
manish,0,3,6,0,0,ma,sh,man,ish
amit kumar yadav,0,3,16,1,0,am,av,ami,dav
divaraj,0,3,7,0,0,di,aj,div,raj
kamlesh,0,3,7,0,0,ka,sh,kam,esh
rajiv bagoriya,0,3,14,0,1,ra,ya,raj,iya
abhiv chaudhary,0,3,15,1,0,ab,ry,abh,ary
devender singh,0,3,14,0,0,de,gh,dev,ngh
azruddin,0,3,8,1,0,az,in,azr,din
mushir ahmed,0,3,12,0,0,mu,ed,mus,med
vibhuti shyamal,0,3,15,0,0,vi,al,vib,mal
inderjeet,0,3,9,1,0,in,et,ind,eet
golu,0,3,4,0,1,go,lu,gol,olu
lokesh,0,3,6,0,0,lo,sh,lok,esh
neeraj,0,3,6,0,0,ne,aj,nee,raj
mukul verma,0,3,11,0,1,mu,ma,muk,rma
rijakpal,0,3,8,0,0,ri,al,rij,pal
jai kishan,0,3,10,0,0,ja,an,jai,han
mun lal jain,0,3,12,0,0,mu,in,mun,ain
jai prakash kashyap,0,3,19,0,0,ja,ap,jai,yap
shishram,0,3,8,0,0,sh,am,shi,ram
parveen aggarwal,0,3,16,0,0,pa,al,par,wal
pramod paswan,0,3,13,0,0,pr,an,pra,wan
ajit,0,3,4,1,0,aj,it,aji,jit
deelip,0,3,6,0,0,de,ip,dee,lip
aaftaab husan,0,3,13,1,0,aa,an,aaf,san
monu,0,3,4,0,1,mo,nu,mon,onu
ramesh,0,3,6,0,0,ra,sh,ram,esh
sawan gupta,0,3,11,0,1,sa,ta,saw,pta
mun lal,0,3,7,0,0,mu,al,mun,lal
saurabh,0,3,7,0,0,sa,bh,sau,abh
sarvesh kumar,0,3,13,0,0,sa,ar,sar,mar
avdhesh,0,3,7,1,0,av,sh,avd,esh
sohl kumar singh,0,3,16,0,0,so,gh,soh,ngh
jar hussan,0,3,10,0,0,ja,an,jar,san
lavtar singh,0,3,12,0,0,la,gh,lav,ngh
harprasad sahu,0,3,14,0,1,ha,hu,har,ahu
vikas kumar,0,3,11,0,0,vi,ar,vik,mar
ashsish kumar,0,3,13,1,0,as,ar,ash,mar
rajesh singh,0,3,12,0,0,ra,gh,raj,ngh
ashu,0,3,4,1,1,as,hu,ash,shu
manjeet,0,3,7,0,0,ma,et,man,eet
jaipal,0,3,6,0,0,ja,al,jai,pal
jalil ansari,0,3,12,0,1,ja,ri,jal,ari
deepak verma,0,3,12,0,1,de,ma,dee,rma
kasim,0,3,5,0,0,ka,im,kas,sim
monu kumar,0,3,10,0,0,mo,ar,mon,mar
manish kumar saket,0,3,18,0,0,ma,et,man,ket
udham,0,3,5,1,0,ud,am,udh,ham
rayan gadri,0,3,11,0,1,ra,ri,ray,dri
lakshman th,0,3,11,0,0,la,th,lak, th
sachin kumar,0,3,12,0,0,sa,ar,sac,mar
shahid,0,3,6,0,0,sh,id,sha,hid
mun,0,3,3,0,0,mu,un,mun,mun
ishtkar,0,3,7,1,0,is,ar,ish,kar
