name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
rachael,1,2,7,0,0,ra,el,rac,ael
sherri,1,2,6,0,1,sh,ri,she,rri
corryn,1,2,6,0,0,co,yn,cor,ryn
jay,1,2,3,0,0,ja,ay,jay,jay
eva,1,2,3,1,1,ev,va,eva,eva
shan,1,2,4,0,0,sh,an,sha,han
sue,1,2,3,0,1,su,ue,sue,sue
anita,1,2,5,1,1,an,ta,ani,ita
jade,1,2,4,0,1,ja,de,jad,ade
tamara,1,2,6,0,1,ta,ra,tam,ara
mallory,1,2,7,0,0,ma,ry,mal,ory
karalyn,1,2,7,0,0,ka,yn,kar,lyn
cristi,1,2,6,0,1,cr,ti,cri,sti
alexis,1,2,6,1,0,al,is,ale,xis
stephany,1,2,8,0,0,st,ny,ste,any
teri,1,2,4,0,1,te,ri,ter,eri
michell,1,2,7,0,0,mi,ll,mic,ell
amiee,1,2,5,1,1,am,ee,ami,iee
alyssa,1,2,6,1,1,al,sa,aly,ssa
marissa,1,2,7,0,1,ma,sa,mar,ssa
danette,1,2,7,0,1,da,te,dan,tte
ada,1,2,3,1,1,ad,da,ada,ada
christy,1,2,7,0,0,ch,ty,chr,sty
judy,1,2,4,0,0,ju,dy,jud,udy
nilza,1,2,5,0,1,ni,za,nil,lza
starla,1,2,6,0,1,st,la,sta,rla
iris,1,2,4,1,0,ir,is,iri,ris
kylee,1,2,5,0,1,ky,ee,kyl,lee
terri,1,2,5,0,1,te,ri,ter,rri
araceli,1,2,7,1,1,ar,li,ara,eli
meredith,1,2,8,0,0,me,th,mer,ith
june,1,2,4,0,1,ju,ne,jun,une
daniella,1,2,8,0,1,da,la,dan,lla
nicky,1,2,5,0,0,ni,ky,nic,cky
magdale,1,2,7,0,1,ma,le,mag,ale
terrie,1,2,6,0,1,te,ie,ter,rie
coleen,1,2,6,0,0,co,en,col,een
jolean,1,2,6,0,0,jo,an,jol,ean
courtney,1,2,8,0,0,co,ey,cou,ney
janette,1,2,7,0,1,ja,te,jan,tte
deidre,1,2,6,0,1,de,re,dei,dre
jaimie,1,2,6,0,1,ja,ie,jai,mie
omi,1,2,3,1,1,om,mi,omi,omi
timilyn,1,2,7,0,0,ti,yn,tim,lyn
rean,1,2,4,0,0,re,an,rea,ean
dianne,1,2,6,0,1,di,ne,dia,nne
lee,1,2,3,0,1,le,ee,lee,lee
jane,1,2,4,0,1,ja,ne,jan,ane
carole,1,2,6,0,1,ca,le,car,ole
riva,1,2,4,0,1,ri,va,riv,iva
tia,1,2,3,0,1,ti,ia,tia,tia
gail,1,2,4,0,0,ga,il,gai,ail
bridgette,1,2,9,0,1,br,te,bri,tte
hilary,1,2,6,0,0,hi,ry,hil,ary
angeli,1,2,6,1,1,an,li,ang,eli
whitney,1,2,7,0,0,wh,ey,whi,ney
brittiny,1,2,8,0,0,br,ny,bri,iny
debi,1,2,4,0,1,de,bi,deb,ebi
stephani,1,2,8,0,1,st,ni,ste,ani
kareen,1,2,6,0,0,ka,en,kar,een
mattie,1,2,6,0,1,ma,ie,mat,tie
antonya,1,2,7,1,1,an,ya,ant,nya
clara,1,2,5,0,1,cl,ra,cla,ara
darya,1,2,5,0,1,da,ya,dar,rya
olga,1,2,4,1,1,ol,ga,olg,lga
tami,1,2,4,0,1,ta,mi,tam,ami
nikki,1,2,5,0,1,ni,ki,nik,kki
omayra,1,2,6,1,1,om,ra,oma,yra
bailie,1,2,6,0,1,ba,ie,bai,lie
devora,1,2,6,0,1,de,ra,dev,ora
jaclyn,1,2,6,0,0,ja,yn,jac,lyn
tresha,1,2,6,0,1,tr,ha,tre,sha
karrie,1,2,6,0,1,ka,ie,kar,rie
adrian,1,2,6,1,0,ad,an,adr,ian
crista,1,2,6,0,1,cr,ta,cri,sta
francoise,1,2,9,0,1,fr,se,fra,ise
lanee,1,2,5,0,1,la,ee,lan,nee
nitza,1,2,5,0,1,ni,za,nit,tza
rosa,1,2,4,0,1,ro,sa,ros,osa
tonia,1,2,5,0,1,to,ia,ton,nia
stefany,1,2,7,0,0,st,ny,ste,any
