name,gender,race,length
tamala,1,2,6
hazel,1,2,5
liudmila,1,2,8
sadie,1,2,5
jessabelle,1,2,10
reba,1,2,4
karyn,1,2,5
lissette,1,2,8
luz,1,2,3
migueli,1,2,7
nydia,1,2,5
silvia,1,2,6
zuleys,1,2,6
marie,1,2,5
kelsey,1,2,6
krisha,1,2,6
grace,1,2,5
murisa,1,2,6
connie,1,2,6
nichol,1,2,6
yvonne,1,2,6
consuelo,1,2,8
laurette,1,2,8
camie,1,2,5
lolita,1,2,6
simone,1,2,6
anlise,1,2,6
skylynn,1,2,7
deniese,1,2,7
aneatra,1,2,7
ala,1,2,3
eileen,1,2,6
myra,1,2,4
laquita,1,2,7
lianyanely,1,2,10
mercedes,1,2,8
lau,1,2,3
sasha,1,2,5
tracelean,1,2,9
jestine,1,2,7
january,1,2,7
tiffani,1,2,7
laci,1,2,4
cristy,1,2,6
leeda,1,2,5
aleesha,1,2,7
antonia,1,2,7
hermelinda,1,2,10
jesusa,1,2,6
jannette,1,2,8
jesenia,1,2,7
noemi,1,2,5
olivia,1,2,6
rochelle,1,2,8
karla,1,2,5
catri,1,2,5
karie,1,2,5
rhea,1,2,4
claire,1,2,6
sativa,1,2,6
lorrey,1,2,6
doni,1,2,4
rosie,1,2,5
darcie,1,2,6
thea,1,2,4
bren,1,2,4
jenniffer,1,2,9
joselyn,1,2,7
maricela,1,2,8
maritza,1,2,7
mylife,1,2,6
paige,1,2,5
rosalinda,1,2,9
kellianne,1,2,9
lilla,1,2,5
tyra,1,2,4
dominique,1,2,9
marilyn,1,2,7
dannia,1,2,6
wednesday,1,2,9
odalmis,1,2,7
goldie,1,2,6
concepcion,1,2,10
elba,1,2,4
idalia,1,2,6
angelica,1,2,8
astasia,1,2,7
larissa,1,2,7
arunya,1,2,6
edith,1,2,5
tristen,1,2,7
chanel,1,2,6
claudia,1,2,7
karmela,1,2,7
carissa,1,2,7
danica,1,2,6
dara,1,2,4
law,1,2,3
uleta,1,2,5
mareesa,1,2,7
cinthya,1,2,7
seli,1,2,4
milneg,1,2,6
ashton,1,2,6
jessamyn,1,2,8
nilda,1,2,5
karli,1,2,5
iria,1,2,4
lua,1,2,3
yudith,1,2,6
blanca,1,2,6
vivian,1,2,6
wenoh,1,2,5
courtey,1,2,7
mechelle,1,2,8
hannelore,1,2,9
jodisue,1,2,7
lucille,1,2,7
leilani,1,2,7
suri,1,2,4
ver,1,2,3
jillian,1,2,7
layura,1,2,6
sheelah,1,2,7
jamee,1,2,5
helen,1,2,5
ciara,1,2,5
vanesa,1,2,6
leshawn,1,2,7
toye,1,2,4
contessa,1,2,8
jeanine,1,2,7
adel,1,2,4
savah,1,2,5
scarlet,1,2,7
tahlia,1,2,6
lillie,1,2,6
dusty,1,2,5
caron,1,2,5
genny,1,2,5
jeanie,1,2,6
jaynne,1,2,6
katrin,1,2,6
bey,1,2,3
alyssia,1,2,7
francis,1,2,7
hali,1,2,4
jayne,1,2,5
kari,1,2,4
sherley,1,2,7
tess,1,2,4
elisha,1,2,6
pura,1,2,4
mollie,1,2,6
selara,1,2,6
romayne,1,2,7
dayle,1,2,5
veda,1,2,4
jackalene,1,2,9
rashida,1,2,7
kaci,1,2,4
angelic,1,2,7
suzette,1,2,7
rae,1,2,3
concetta,1,2,8
lynette,1,2,7
nora,1,2,4
lacie,1,2,5
angelia,1,2,7
