name,gender,race
jai bhagwan,0,3
rajaram nayak,0,3
smt. pooja,0,3
vijay kukreja,0,3
shyam narain pande,0,3
anuj kumar,0,3
mohhmad shahil ragraj,0,3
bablu singh,0,3
pancu,0,3
ramtek,0,3
monuarun,0,3
gauri visht,0,3
punarjyoti lahiri,0,3
parteek,0,3
hansraj,0,3
deepak  deepu,0,3
radha raman,0,3
nadeem,0,3
babu,0,3
sameer khen,0,3
ameen,0,3
sanjiv pathak,0,3
pardeep,0,3
nizamuddin  monu,0,3
vijay ghimre,0,3
rahul paswan,0,3
suman,0,3
dinesh garg,0,3
manish maheshwari,0,3
mahaveer,0,3
yash,0,3
nand lal meena,0,3
rani ranjan  golu,0,3
shayam,0,3
mahipal,0,3
ramprasad,0,3
rohit ahlawat,0,3
asif,0,3
surender kumar singh,0,3
sachin verma,0,3
daniel gomes,0,3
rajesh,0,3
zakir hussain,0,3
agyapad bhatya,0,3
deepak maan,0,3
suwadhin shriwastava,0,3
arif,0,3
noorjama  tukun,0,3
mohd israr,0,3
yashin  sukaa,0,3
neeraj chauhan,0,3
raviraj so mahaveer singh,0,3
inder singh sawant,0,3
shoab jamal,0,3
teerath singh,0,3
ankur divedi,0,3
gautam rehan,0,3
sone lal bhanderi,0,3
harichand,0,3
chatan,0,3
mohd jahid,0,3
deepchand,0,3
jasveer singh,0,3
deepender kumar,0,3
deep chand,0,3
mohd sarfraj,0,3
surender kumar,0,3
aoosaf,0,3
abrar,0,3
mohd. shahdab,0,3
smt pooja,0,3
tanveer malik,0,3
ratiman,0,3
devender  sonu,0,3
mul chand kumawat,0,3
ram milan,0,3
arvind kumar,0,3
sanjeev  kaku,0,3
jasbir,0,3
sanjeev gautam,0,3
jasbir singh,0,3
anwari,0,3
shyamlal,0,3
nashim,0,3
phooleshwar yadav  babu lal,0,3
ramesh singh,0,3
aatif,0,3
jahid,0,3
anil,0,3
amit sharma,0,3
ankit kumar,0,3
mho najim,0,3
ridhakaran sharma,0,3
babulal yadav,0,3
pavan,0,3
jabbar singh,0,3
rinku,0,3
mohd ayub,0,3
yogesh kumar dhunna,0,3
altaf,0,3
ram chander,0,3
indu shekh,0,3
vijay  pappu,0,3
sheikhsai ful,0,3
shagufta,0,3
moni,0,3
harendra,0,3
sivam,0,3
shambhu,0,3
shripal,0,3
ram babu,0,3
rada sharn,0,3
ranjeet singh,0,3
mahendra,0,3
raghunandan pawar,0,3
shivyalam,0,3
anil sharma,0,3
dharmandra,0,3
surya narayan mukhiya,0,3
rajiv,0,3
hrithik,0,3
pooja,0,3
shashank,0,3
surjeet singh,0,3
suraj paswan,0,3
mohit chouhan,0,3
vishal  bittu,0,3
akbar,0,3
lal singh,0,3
sehzad,0,3
tushar bhaskar,0,3
md. samim,0,3
mohd ushama,0,3
pushkar koshik,0,3
ahsan,0,3
narender singh,0,3
mohd sajad ali,0,3
aftab,0,3
arun yadav,0,3
vijay kuma,0,3
sonu saksena,0,3
kundan raj,0,3
anand singh,0,3
faijal,0,3
rajesh metho,0,3
banarsi das,0,3
utkarsh jha,0,3
suraj sahay sharma,0,3
noor hasan,0,3
bablu khan,0,3
subhas,0,3
kavilash,0,3
