name,gender,race,length
gonzalo a,0,1,9
eleazar,0,1,7
florian,0,1,7
eddie,0,1,5
alfredo p,0,1,9
matthew s,0,1,9
aaron n,0,1,7
octavio p,0,1,9
ricardo t,0,1,9
michael j,0,1,9
abdullah a,0,1,10
matthew j jr,0,1,12
romulo,0,1,6
adan j,0,1,6
pete,0,1,4
albert a,0,1,8
alexis c,0,1,8
israel f,0,1,8
jordan l,0,1,8
clifton,0,1,7
marshall g,0,1,10
maddyel,0,1,7
daniel f,0,1,8
noe a,0,1,5
fabian a,0,1,8
robert s,0,1,8
benjamin m,0,1,10
waldemar n,0,1,10
dimas p,0,1,7
gregory,0,1,7
yuniet,0,1,6
romeo a,0,1,7
santiago jr,0,1,11
noe,0,1,3
hanly,0,1,5
juan f,0,1,6
tarsis,0,1,6
edgardo,0,1,7
generoso,0,1,8
david l,0,1,7
hugo a,0,1,6
adam,0,1,4
alfonso p,0,1,9
chris,0,1,5
eudin,0,1,5
gabriel n,0,1,9
jeffrey j,0,1,9
jeffrey l,0,1,9
jerry l,0,1,7
john a,0,1,6
john e,0,1,6
juan r jr,0,1,9
leonel t,0,1,8
macario,0,1,7
marc,0,1,4
matthew d,0,1,9
matthew r,0,1,9
mauricio m,0,1,10
nestor,0,1,6
rocke r,0,1,7
santino l,0,1,9
walter j,0,1,8
william e,0,1,9
tomas,0,1,5
joshuat s,0,1,9
hugo f,0,1,6
melquiades,0,1,10
julio t,0,1,7
loupe l,0,1,7
silvestre jr,0,1,12
byron r,0,1,7
gilberto j,0,1,10
robert m,0,1,8
osmundo g,0,1,9
seledonio,0,1,9
olmedo,0,1,6
ricardo l,0,1,9
samuel s,0,1,8
wilfredo e,0,1,10
jothan l,0,1,8
aron,0,1,4
guellermo r,0,1,11
christian f,0,1,11
joan c,0,1,6
reyldo l,0,1,8
daniel l,0,1,8
refugio,0,1,7
haroon j,0,1,8
dominic,0,1,7
damian m,0,1,8
humberto m,0,1,10
joel c,0,1,6
amador,0,1,6
edmundo l ii,0,1,12
hiram a,0,1,7
joseph r,0,1,8
miguel o,0,1,8
ramon l,0,1,7
jorge g,0,1,7
john d,0,1,6
henry jr,0,1,8
ponciano s,0,1,10
fulgencio,0,1,9
tirso,0,1,5
hector r,0,1,8
hugo,0,1,4
jaime a,0,1,7
santiago,0,1,8
maykel,0,1,6
ariez,0,1,5
guillermo e,0,1,11
george j,0,1,8
cruz,0,1,4
eduardo jr,0,1,10
alexis v,0,1,8
arldo,0,1,5
augustin c,0,1,10
baltazar c,0,1,10
caesar jr,0,1,9
domingo jr,0,1,10
edin,0,1,4
efrain iii,0,1,10
erickson h,0,1,10
evans d,0,1,7
gabriel l,0,1,9
guillermo b,0,1,11
hubardo p,0,1,9
joe a,0,1,5
jorel l,0,1,7
juan l,0,1,6
justin l,0,1,8
lucas r,0,1,7
luis v,0,1,6
manolo j,0,1,8
marsanti,0,1,8
melvin o,0,1,8
michael l,0,1,9
michael s,0,1,9
nelson d,0,1,8
omartin,0,1,7
raymond l,0,1,9
regino,0,1,6
ricky,0,1,5
tony m,0,1,6
victor g,0,1,8
walter,0,1,6
walter m,0,1,8
william c,0,1,9
yaser,0,1,5
marco t,0,1,7
jasel,0,1,5
romilio,0,1,7
jaser,0,1,5
eddie a,0,1,7
gelver r,0,1,8
robinson,0,1,8
peter a,0,1,7
robert jr,0,1,9
carlos a jr,0,1,11
eduardo m,0,1,9
lazaro m,0,1,8
diego j,0,1,7
maynor,0,1,6
nelson j,0,1,8
ruben a,0,1,7
edvaldo a,0,1,9
mervin a,0,1,8
sadid g,0,1,7
kenneth h,0,1,9
larry j,0,1,7
yosvani,0,1,7
elizer,0,1,6
johnny e,0,1,8
rocky,0,1,5
sergio s,0,1,8
ian p,0,1,5
acencion,0,1,8
esau,0,1,4
raudel d,0,1,8
carlos o,0,1,8
nelson e,0,1,8
isaias,0,1,6
igcio j,0,1,7
yoel a,0,1,6
edwin g,0,1,7
bienvenido a,0,1,12
kelner,0,1,6
damian,0,1,6
ramiro r,0,1,8
william h,0,1,9
mario r,0,1,7
anthony jr,0,1,10
bobby w,0,1,7
cayetano d,0,1,10
geobani,0,1,7
javier c,0,1,8
jay a,0,1,5
jesus j,0,1,7
kermit d,0,1,8
mark e,0,1,6
ruiz,0,1,4
santo,0,1,5
gerzon g,0,1,8
homero iii,0,1,10
felipe iii,0,1,10
guillermo h,0,1,11
jeffrey m,0,1,9
juan t,0,1,6
kenneth e,0,1,9
ludis,0,1,5
marcelo,0,1,7
bor,0,1,3
miguel e,0,1,8
norman s,0,1,8
adam d,0,1,6
pedro jr,0,1,8
hansel,0,1,6
tony j,0,1,6
joar j,0,1,6
benito s,0,1,8
maikel z,0,1,8
bobby jr,0,1,8
jacinto g,0,1,9
yadiel o,0,1,8
ernesto e,0,1,9
jose v jr,0,1,9
raul f,0,1,6
abiud,0,1,5
denis,0,1,5
adrian l,0,1,8
eliud m,0,1,7
joshua s,0,1,8
eloy,0,1,4
felix f,0,1,7
ike r,0,1,5
omar f,0,1,6
guillremo p,0,1,11
michael v,0,1,9
phillip a,0,1,9
antonio l,0,1,9
oliver e,0,1,8
benjamin b jr,0,1,13
christian a,0,1,11
clemente jr,0,1,11
crespin g,0,1,9
eladio,0,1,6
felix m,0,1,7
gabriel p,0,1,9
heine j,0,1,7
henry d,0,1,7
jahdel,0,1,6
james r,0,1,7
jessie m,0,1,8
leordo c,0,1,8
